STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TMAX,TMIN,WDFG,PGTM,WSFG,WT09,WT07,WT01,WT06,WT05,WT04,WT16,WT08,WT18,WT03
GHCND:GME00111445,BERLIN TEMPELHOF GM,19310201,13,-9999,-9999,11,-22,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:GME00111445,BERLIN TEMPELHOF GM,19310202,-9999,-9999,-9999,-11,-50,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:GME00111445,BERLIN TEMPELHOF GM,19310203,13,-9999,-9999,-11,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:GME00111445,BERLIN TEMPELHOF GM,19310204,10,-9999,-9999,-28,-50,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:GME00111445,BERLIN TEMPELHOF GM,19310205,8,-9999,-9999,-50,-61,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:GME00111445,BERLIN TEMPELHOF GM,19310206,25,-9999,-9999,-39,-100,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:GME00111445,BERLIN TEMPELHOF GM,19310207,10,-9999,-9999,-61,-72,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:GME00111445,BERLIN TEMPELHOF GM,19310209,-9999,-9999,-9999,-22,-89,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:GME00111445,BERLIN TEMPELHOF GM,19310210,-9999,-9999,-9999,39,-89,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:GME00111445,BERLIN TEMPELHOF GM,19310211,-9999,-9999,-9999,50,22,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:GME00111445,BERLIN TEMPELHOF GM,19310212,930,-9999,-9999,61,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:GME00111445,BERLIN TEMPELHOF GM,19310213,13,-9999,-9999,39,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:GME00111445,BERLIN TEMPELHOF GM,19310214,-9999,-9999,-9999,0,-28,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:GME00111445,BERLIN TEMPELHOF GM,19310216,-9999,-9999,-9999,28,-39,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:GME00111445,BERLIN TEMPELHOF GM,19310217,-9999,-9999,-9999,39,-28,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:GME00111445,BERLIN TEMPELHOF GM,19310218,-9999,-9999,-9999,39,-28,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:GME00111445,BERLIN TEMPELHOF GM,19310219,-9999,-9999,-9999,22,-11,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:GME00111445,BERLIN TEMPELHOF GM,19310220,-9999,-9999,-9999,11,-11,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:GME00111445,BERLIN TEMPELHOF GM,19310221,-9999,-9999,-9999,22,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:GME00111445,BERLIN TEMPELHOF GM,19310223,-9999,-9999,-9999,39,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:GME00111445,BERLIN TEMPELHOF GM,19310224,-9999,-9999,-9999,50,-39,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:GME00111445,BERLIN TEMPELHOF GM,19310225,15,-9999,-9999,39,-22,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:GME00111445,BERLIN TEMPELHOF GM,19310226,41,-9999,-9999,78,22,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:GME00111445,BERLIN TEMPELHOF GM,19310227,51,-9999,-9999,72,22,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:GME00111445,BERLIN TEMPELHOF GM,19310228,-9999,-9999,-9999,72,-22,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:GME00111445,BERLIN TEMPELHOF GM,19310301,107,-9999,-9999,28,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:GME00111445,BERLIN TEMPELHOF GM,19310302,-9999,-9999,-9999,22,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:GME00111445,BERLIN TEMPELHOF GM,19310303,-9999,-9999,-9999,39,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:GME00111445,BERLIN TEMPELHOF GM,19310304,-9999,-9999,-9999,11,-50,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:GME00111445,BERLIN TEMPELHOF GM,19310305,-9999,-9999,-9999,22,-72,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:GME00111445,BERLIN TEMPELHOF GM,19310306,-9999,-9999,-9999,-22,-50,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:GME00111445,BERLIN TEMPELHOF GM,19310307,10,-9999,-9999,-11,-89,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:GME00111445,BERLIN TEMPELHOF GM,19310309,10,-9999,-9999,-22,-100,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:GME00111445,BERLIN TEMPELHOF GM,19310310,15,-9999,-9999,-11,-61,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:GME00111445,BERLIN TEMPELHOF GM,19310311,51,-9999,-9999,-11,-111,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:GME00111445,BERLIN TEMPELHOF GM,19310312,61,-9999,-9999,22,-50,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:GME00111445,BERLIN TEMPELHOF GM,19310313,-9999,-9999,-9999,61,-11,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:GME00111445,BERLIN TEMPELHOF GM,19310314,-9999,-9999,-9999,89,-50,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:GME00111445,BERLIN TEMPELHOF GM,19310316,-9999,-9999,-9999,39,-28,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:GME00111445,BERLIN TEMPELHOF GM,19310317,-9999,-9999,-9999,-9999,-39,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:GME00111445,BERLIN TEMPELHOF GM,19310318,-9999,-9999,-9999,72,-39,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:GME00111445,BERLIN TEMPELHOF GM,19310319,-9999,-9999,-9999,122,-28,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:GME00111445,BERLIN TEMPELHOF GM,19310320,-9999,-9999,-9999,111,-11,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:GME00111445,BERLIN TEMPELHOF GM,19310321,-9999,-9999,-9999,139,11,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:GME00111445,BERLIN TEMPELHOF GM,19310323,10,-9999,-9999,122,50,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:GME00111445,BERLIN TEMPELHOF GM,19310324,15,-9999,-9999,122,11,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:GME00111445,BERLIN TEMPELHOF GM,19310325,-9999,-9999,-9999,-9999,28,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:GME00111445,BERLIN TEMPELHOF GM,19310326,-9999,-9999,-9999,78,-39,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:GME00111445,BERLIN TEMPELHOF GM,19310327,-9999,-9999,-9999,39,-11,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:GME00111445,BERLIN TEMPELHOF GM,19310328,-9999,-9999,-9999,61,-11,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:GME00111445,BERLIN TEMPELHOF GM,19310330,-9999,-9999,-9999,28,-22,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:GME00111445,BERLIN TEMPELHOF GM,19310331,-9999,-9999,-9999,-9999,-39,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:GME00111445,BERLIN TEMPELHOF GM,19310401,-9999,-9999,-9999,78,-50,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:GME00111445,BERLIN TEMPELHOF GM,19310402,-9999,-9999,-9999,61,-11,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:GME00111445,BERLIN TEMPELHOF GM,19310403,-9999,-9999,-9999,89,-22,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:GME00111445,BERLIN TEMPELHOF GM,19310404,-9999,-9999,-9999,150,-11,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:GME00111445,BERLIN TEMPELHOF GM,19310405,30,-9999,-9999,111,28,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:GME00111445,BERLIN TEMPELHOF GM,19310406,-9999,-9999,-9999,100,11,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:GME00111445,BERLIN TEMPELHOF GM,19310407,-9999,-9999,-9999,100,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:GME00111445,BERLIN TEMPELHOF GM,19310408,-9999,-9999,-9999,89,-11,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:GME00111445,BERLIN TEMPELHOF GM,19310409,-9999,-9999,-9999,122,-22,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:GME00111445,BERLIN TEMPELHOF GM,19310410,46,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:GME00111445,BERLIN TEMPELHOF GM,19310411,-9999,-9999,-9999,72,11,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:GME00111445,BERLIN TEMPELHOF GM,19310412,-9999,-9999,-9999,100,28,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:GME00111445,BERLIN TEMPELHOF GM,19310414,94,-9999,-9999,78,22,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:GME00111445,BERLIN TEMPELHOF GM,19310415,15,-9999,-9999,61,11,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:GME00111445,BERLIN TEMPELHOF GM,19310416,-9999,-9999,-9999,111,-22,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:GME00111445,BERLIN TEMPELHOF GM,19310417,-9999,-9999,-9999,122,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:GME00111445,BERLIN TEMPELHOF GM,19310418,71,-9999,-9999,100,50,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:GME00111445,BERLIN TEMPELHOF GM,19310419,160,-9999,-9999,89,39,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:GME00111445,BERLIN TEMPELHOF GM,19310420,-9999,-9999,-9999,111,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:GME00111445,BERLIN TEMPELHOF GM,19310421,-9999,-9999,-9999,50,22,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:GME00111445,BERLIN TEMPELHOF GM,19310422,30,-9999,-9999,78,28,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:GME00111445,BERLIN TEMPELHOF GM,19310423,10,-9999,-9999,139,22,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:GME00111445,BERLIN TEMPELHOF GM,19310424,-9999,-9999,-9999,172,22,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:GME00111445,BERLIN TEMPELHOF GM,19310425,-9999,-9999,-9999,200,72,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:GME00111445,BERLIN TEMPELHOF GM,19310426,36,-9999,-9999,172,78,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
